Episode,Score,AverageScore,BestScore,Epsilon,Steps,TerminalState
1,5.22198325073927,5.22198325073927,5.22198325073927,1.0,2,1
2,7.7970136009892155,6.509498425864242,7.7970136009892155,1.0,5,1
3,2.202809828394696,5.07393556004106,7.7970136009892155,1.0,6,1
4,29.15628166045034,11.09452208514338,29.15628166045034,1.0,15,1
5,7.159292286528102,10.307476125420324,29.15628166045034,1.0,18,1
6,2.03998786355203,8.92956141510894,29.15628166045034,1.0,19,1
7,10.436479625106674,9.144835445108617,29.15628166045034,1.0,23,1
8,20.372518477575362,10.54829582416696,29.15628166045034,1.0,30,1
9,17.50261868164881,11.320998363887165,29.15628166045034,0.9999500000000002,36,1
