Episode,Score,AverageScore,BestScore,Epsilon,Steps,TerminalState
1,6.952294797630989,6.952294797630989,6.952294797630989,0.9951000000000224,3,1
2,22.63782353031612,14.795059163973555,22.63782353031612,0.9951000000000224,11,1
3,7.861407574148532,12.483841967365214,22.63782353031612,0.9951000000000224,14,1
4,8.964827017435152,11.604088229882699,22.63782353031612,0.9951000000000224,17,1
5,4.933333333333333,10.269937250572825,22.63782353031612,0.9951000000000224,19,1
6,23.334575678295444,11.722429279715906,23.334575678295444,0.9951000000000224,27,1
7,12.767208850807775,11.871683504157602,23.334575678295444,0.9951000000000224,31,1
8,9.7947408880791,11.61206567714779,23.334575678295444,0.9951000000000224,34,1
9,55.671741917653996,16.507585259426257,55.671741917653996,0.9950600000000226,54,1
10,8.77102040430459,15.73392877391409,55.671741917653996,0.9950300000000227,57,1
11,20.376517803890433,15.852410709444586,55,0.9951000000000224,64,1
12,1.6071923338452845,14.665309178144645,55,0.9951000000000224,65,1
13,27.505833251810895,15.653041799195893,55,0.9951000000000224,75,1
14,25.358374065407432,16.346279818211002,55,0.9951000000000224,83,1
15,16.494148001376406,16.356137697088695,55,0.9950900000000225,89,1
16,6.977777777777778,15.769990202131765,55,0.9950600000000226,92,1
17,3.533333333333333,15.050186856908327,55,0.9950400000000227,94,1
18,11.280396456014051,14.840754056858648,55,0.9950000000000229,98,1
19,7.105879436316429,14.433655392619585,55,0.994970000000023,101,1
20,24.61696324664317,14.942820785320766,55,0.9948800000000234,110,1
21,8.52504467903266,14.637212399307046,55,0.9948500000000235,113,1
22,7.900814974194603,14.331012516347387,55,0.9948200000000237,116,1
23,19.89053815265343,14.57273102227374,55,0.994760000000024,122,1
24,7.905852002021997,14.294944396429912,55,0.9947300000000241,125,1
25,14.489614961570203,14.302731219035525,55,0.9946800000000243,130,1
26,22.115393702219425,14.60321823761952,55,0.9946100000000246,137,1
27,5.104604162733418,14.251417716327444,55,0.9945900000000247,139,1
28,2.03998786355203,13.815295221585464,55,0.9945800000000248,140,1
29,21.605543293357346,14.083924465439667,55,0.9945100000000251,147,1
30,5.6,13.801126983258346,55,0.9944900000000252,149,1
31,9.323272558169746,13.656680066320003,55,0.9944600000000253,152,1
32,9.649543114502956,13.53145703657572,55,0.9944200000000255,156,1
33,8.93615494290803,13.39220545797973,55,0.9943900000000256,159,1
34,5.903201380186046,13.171940632162269,55,0.9943700000000257,161,1
35,5.130085731338777,12.942173349281598,55,0.9943500000000258,163,1
36,2.03998786355203,12.639334863566887,55,0.9943400000000259,164,1
37,11.834946834175891,12.617594646556318,55,0.994300000000026,168,1
38,25.755612947635775,12.963331970268936,55,0.9942100000000265,177,1
39,11.371278066601565,12.922510075303107,55,0.9941700000000266,181,1
40,27.76844273751137,13.293658391858312,55,0.9940700000000271,191,1
41,2.398501054887607,13.027922847054148,55,0.9940600000000271,192,1
42,4.2601579695059915,12.819166540445858,55,0.9940400000000272,194,1
43,2.4,12.576860341830837,55,0.9940300000000273,195,1
44,4.063680348890427,12.38337897835492,55,0.9940100000000274,197,1
45,4.2601579695059915,12.202862955936052,55,0.9939900000000275,199,1
46,27.36986733756051,12.532580442493106,55,0.9939000000000279,208,1
47,17.01787960309823,12.628012339527258,55,0.9938400000000281,214,1
48,20.90857645808133,12.800524091997138,55,0.9937700000000285,221,1
49,11.03769039153379,12.764547894028498,55,0.9937300000000286,225,1
50,1.9733211968853628,12.548723360085635,55,0.9937200000000287,226,1
51,11.027320755372273,12.518891936463802,55,0.9936800000000289,230,1
52,89.59324260665649,14.001090987813663,89.59324260665649,0.9933700000000303,261,1
53,2.666666666666667,13.787233925150511,89.59324260665649,0.9933600000000303,262,1
54,14.57249604754209,13.801775816305913,89.59324260665649,0.9933100000000306,267,1
55,11.656912508861817,13.762778301625112,89.59324260665649,0.9932700000000307,271,1
56,19.782876447853333,13.870280054236328,89.59324260665649,0.9931900000000311,279,1
57,13.311350555874755,13.86047427356332,89.59324260665649,0.9931400000000313,284,1
58,8.773458339996054,13.772767102294917,89.59324260665649,0.9931100000000315,287,1
59,5.128586872919269,13.626255572983467,89.59324260665649,0.9930900000000316,289,1
60,7.726804827359526,13.527931393889734,89.59324260665649,0.9930600000000317,292,1
61,14.964831134661122,13.551487127345004,89.59324260665649,0.9930100000000319,297,1
62,8.64466245011839,13.472344793841348,89.59324260665649,0.9929700000000321,301,1
63,3.3759312776007535,13.31208426183753,89.59324260665649,0.9929500000000322,303,1
64,9.351246088624567,13.250196165381077,89.59324260665649,0.9929200000000323,306,1
65,13.28036981956182,13.250660375445396,89.59324260665649,0.9928800000000325,310,1
66,39.39324177437589,13.646760093611007,89.59324260665649,0.9927400000000332,324,1
67,9.7947408880791,13.589267269647845,89.59324260665649,0.9927100000000333,327,1
68,41.904353056651125,14.005665590044952,89.59324260665649,0.992560000000034,342,1
69,21.16081464807369,14.10936340248015,89.59324260665649,0.9924900000000343,349,1
70,3.309264610934086,13.955076276886635,89.59324260665649,0.9924700000000344,351,1
71,11.234171682805576,13.916753676970002,89.59324260665649,0.9924300000000346,355,1
72,6.906070058412022,13.819383071156699,89.59324260665649,0.9924000000000347,358,1
73,8.506364650697046,13.746601996903825,89.59324260665649,0.9923700000000348,361,1
74,13.04625298092902,13.737137821012274,89.59324260665649,0.992330000000035,365,1
75,10.972499936568692,13.700275982553027,89.59324260665649,0.9922900000000352,369,1
76,7.112611424185382,13.6135961857324,89.59324260665649,0.9922700000000353,371,1
77,27.039161896335408,13.787954181973998,89.59324260665649,0.9921800000000357,380,1
78,3.3333333333333335,13.653920581350398,89.59324260665649,0.9921600000000358,382,1
79,22.236527113269016,13.762561170362025,89.59324260665649,0.9920900000000361,389,1
80,76.6391665855812,14.548518738052266,89.59324260665649,0.9918200000000373,416,1
81,13.736074222839095,14.538488558852103,89.59324260665649,0.9917700000000376,421,1
82,15.305851998606567,14.547846649580817,89.59324260665649,0.9917200000000378,426,1
83,6.701775214171027,14.453315668431301,89.59324260665649,0.9917000000000379,428,1
84,4.928586872919269,14.339926039913301,89.59324260665649,0.991680000000038,430,1
85,10.775502513735061,14.297991645487675,89.59324260665649,0.9916500000000381,433,1
86,13.797699868166323,14.292174299239752,89.59324260665649,0.9916100000000383,437,1
87,12.328292346702451,14.269600943463463,89.59324260665649,0.9915700000000385,441,1
88,20.500834382068582,14.3404104143567,89.59324260665649,0.9915000000000388,448,1
89,17.235101718710975,14.372935035753938,89.59324260665649,0.9914400000000391,454,1
90,3.928097656989895,14.256881287101004,89.59324260665649,0.9914200000000392,456,1
91,5.608691358024691,14.161846232935332,89.59324260665649,0.9914000000000392,458,1
92,12.468364862366373,14.143438826733496,89.59324260665649,0.9913600000000394,462,1
93,20.437690884766297,14.211118956389761,89.59324260665649,0.9912900000000398,469,1
94,3.7058754347676737,14.09936104658527,89.59324260665649,0.9912700000000398,471,1
95,10.689106894562835,14.063463634458719,89.59324260665649,0.99123000000004,475,1
96,7.768434893368045,13.997890418405694,89.59324260665649,0.9912000000000402,478,1
97,11.990641989436945,13.977197135632819,89.59324260665649,0.9911600000000403,482,1
98,5.572519349674481,13.891435117408754,89.59324260665649,0.9911400000000404,484,1
99,1.2177656413298072,13.763418254014017,89.59324260665649,0.9911300000000405,485,1
100,12.683790355755868,13.752621975031436,89.59324260665649,0.9910800000000407,490,1
