Episode,Score,AverageScore,BestScore,Epsilon,Steps,TerminalState
1,14.478222808058463,14.478222808058463,14.478222808058463,0.9951000000000224,5,1
2,13.39746534681062,13.93784407743454,14.478222808058463,0.9951000000000224,9,1
3,7.479120851386384,11.784936335418488,14.478222808058463,0.9951000000000224,12,1
4,5.660167667271479,10.253744168381736,14.478222808058463,0.9951000000000224,14,1
5,20.163650540611116,12.235725442827611,20.163650540611116,0.9951000000000224,22,1
6,29.17251880221577,15.058524336058971,29.17251880221577,0.9950800000000225,33,1
7,14.437978573884436,14.969874941462608,29.17251880221577,0.9950300000000227,38,1
8,5.618961464297656,13.80101075681699,29.17251880221577,0.9950100000000228,40,1
9,14.272448242963751,13.853392699722185,29.17251880221577,0.994960000000023,45,1
10,1.6687403397110996,12.634927463721075,29.17251880221577,0.9949500000000231,46,1
11,3.5078503534786876,11.805193180971768,29.17251880221577,0.9949300000000232,48,1
12,8.480983332616423,11.528175693608823,29.17251880221577,0.9949000000000233,51,1
13,0.9549926798276258,10.714853923317962,29.17251880221577,0.9948900000000234,52,1
14,24.772976380379244,11.719005527393767,29.17251880221577,0.9948100000000237,60,1
15,8.258399248811465,11.488298442154948,29.17251880221577,0.9947800000000239,63,1
16,6.039186016341146,11.147728915541585,29.17251880221577,0.994760000000024,65,1
17,17.9490558585997,11.547806971015591,29.17251880221577,0.9947100000000242,70,1
18,27.015624743701878,12.407130180609276,29.17251880221577,0.9946100000000246,80,1
19,5.128586872919269,12.024048953888748,29.17251880221577,0.9945900000000247,82,1
20,12.256619160522648,12.035677464220445,29.17251880221577,0.9945500000000249,86,1
21,19.284220073253827,12.380846159888701,29.17251880221577,0.9944800000000252,93,1
22,10.025982369369466,12.273806896683281,29.17251880221577,0.9944400000000254,97,1
23,13.51141963913857,12.32761614635525,29.17251880221577,0.9944000000000256,101,1
24,1.11288306674108,11.860335601371325,29.17251880221577,0.9943900000000256,102,1
25,35.00422819359825,12.786091305060403,35.00422819359825,0.9942700000000262,114,1
26,3.039322475150316,12.41121558083309,35.00422819359825,0.9942600000000262,115,1
27,3.4616256800357856,12.07974928821097,35.00422819359825,0.9942400000000263,117,1
28,8.282393977436831,11.94412945568332,35.00422819359825,0.9942100000000265,120,1
29,6.536936039695218,11.757674510304419,35.00422819359825,0.9941800000000266,123,1
30,4.949048607177863,11.530720313533534,35.00422819359825,0.9941600000000267,125,1
31,9.355047466314996,11.460537318461968,35.00422819359825,0.9941300000000268,128,1
32,14.301775064530213,11.549325998026603,35.00422819359825,0.994090000000027,132,1
33,8.703205554838645,11.463079923990604,35.00422819359825,0.9940600000000271,135,1
34,15.571288471630403,11.58390958715648,35.00422819359825,0.9940000000000274,141,1
35,45.17233494404108,12.54357888306747,45.17233494404108,0.9938400000000281,157,1
36,6.420723276851927,12.373499560672592,45.17233494404108,0.9938100000000283,160,1
37,8.770060439066507,12.2761093141427,45.17233494404108,0.9937800000000284,163,1
38,6.750514568924675,12.130698926110647,45.17233494404108,0.9937500000000286,166,1
39,16.32805125393978,12.238323344772933,45.17233494404108,0.9936900000000288,172,1
40,7.065236717134963,12.10899617908198,45.17233494404108,0.993660000000029,175,1
41,9.333551339007279,12.041302402494793,45.17233494404108,0.9936200000000291,179,1
42,13.394958947300912,12.073532320228272,45.17233494404108,0.9935700000000294,184,1
43,19.17251866595653,12.238625025942882,45.17233494404108,0.9935100000000296,190,1
44,6.261568113547234,12.102782823388436,45.17233494404108,0.9934800000000298,193,1
45,3.928097656989895,11.921123153024023,45.17233494404108,0.9934600000000299,195,1
46,1.7985011123464507,11.70106615213973,45.17233494404108,0.9934500000000299,196,1
47,18.84468390916092,11.853058019310392,45.17233494404108,0.9933800000000302,203,1
48,14.597699858120755,11.91023805761894,45.17233494404108,0.9933300000000305,208,1
49,9.598501054629706,11.863059751435486,45.17233494404108,0.9933000000000306,211,1
50,10.717686401707935,11.840152284440935,45.17233494404108,0.9932700000000307,214,1
51,28.758359227717186,12.171881832348312,45.17233494404108,0.9931800000000311,223,1
52,32.40578161667672,12.560995289739243,45.17233494404108,0.9930700000000316,234,1
53,5.7333333333333325,12.432171479241017,45.17233494404108,0.9930500000000317,236,1
54,20.813862739857914,12.587387984067256,45.17233494404108,0.9929800000000321,243,1
55,51.13375795625405,13.288231074470652,51.13375795625405,0.9928100000000328,260,1
56,15.33735172444406,13.324822514648753,51.13375795625405,0.9927600000000331,265,1
57,21.290885047456236,13.464577997680461,51.13375795625405,0.9926800000000334,273,1
58,14.63918533195984,13.484829848271486,51.13375795625405,0.9926300000000337,278,1
59,8.24012500666272,13.395936545871338,51.13375795625405,0.9926000000000338,281,1
60,17.86140755427888,13.470361062678132,51.13375795625405,0.9925400000000341,287,1
61,7.352569237779317,13.370069393417495,51.13375795625405,0.9925100000000342,290,1
62,3.2411836868120205,13.206700269117407,51.13375795625405,0.9924900000000343,292,1
63,13.066666666666666,13.204477513522953,51.13375795625405,0.9924500000000345,296,1
64,15.23860245396554,13.236260715717364,51.13375795625405,0.9924000000000347,301,1
65,16.115101718682645,13.280550577301446,51.13375795625405,0.9923500000000349,306,1
66,18.837978573884435,13.364754031795128,51.13375795625405,0.9922900000000352,312,1
67,3.7517319220089576,13.221276089858021,51.13375795625405,0.9922700000000353,314,1
68,37.84806609807904,13.583434766449507,51.13375795625405,0.9921400000000359,327,1
69,28.518555017896915,13.799885784586426,51.13375795625405,0.9920500000000363,336,1
70,4.021174771739877,13.660189912974332,51.13375795625405,0.9920300000000364,338,1
71,8.4013108830244,13.586121194242642,51.13375795625405,0.9920000000000365,341,1
72,14.926833719979024,13.604742201544537,51.13375795625405,0.9919500000000367,346,1
